name,postcode,state
Sandakan,"['90000', '90008', '90009', '90300', '90307', '90700', '90701', '90702', '90703', '90704', '90705', '90706', '90707', '90708', '90709', '90711', '90712', '90713', '90714', '90715', '90716', '90717', '90718', '90719', '90720', '90721', '90722', '90723', '90724', '90725', '90726', '90727', '90728', '90729', '90730', '90731', '90732', '90733', '90734', '90735', '90736', '90737', '90738', '90739', '90740', '90741']",Sabah
Semporna,"['91300', '91307', '91308', '91309']",Sabah
Sipitang,"['89850', '89857', '89858', '89859']",Sabah
Tambunan,"['89650', '89657', '89658', '89659']",Sabah
Tamparuli,"['89250', '89257', '89258', '89259']",Sabah
Tanjung Aru,['88858'],Sabah
Tawau,"['91000', '91007', '91008', '91009', '91010', '91011', '91012', '91013', '91014', '91015', '91016', '91017', '91018', '91019', '91020', '91021', '91022', '91023', '91024', '91025', '91026', '91027', '91028', '91029', '91030', '91031', '91032', '91033', '91034', '91035', '91045', '91056']",Sabah
Tenom,"['89900', '89907', '89908', '89909']",Sabah
Tuaran,"['89200', '89207', '89208', '89209']",Sabah
Asajaya,['94600'],Sarawak
Balingian,['96350'],Sarawak
Baram,"['98050', '98057', '98058', '98059']",Sarawak
Bau,"['94000', '94007', '94009']",Sarawak
Bekenu,"['98150', '98157', '98159']",Sarawak
Belaga,"['96900', '96950', '96999']",Sarawak
Belawai,['96150'],Sarawak
Betong,"['95700', '95707', '95709']",Sarawak
Bintangor,"['96500', '96507', '96508', '96509', '96510']",Sarawak
Bintulu,"['97000', '97004', '97007', '97008', '97009', '97010', '97011', '97012', '97013', '97014', '97015', '97300']",Sarawak
Dalat,"['96300', '96307', '96309']",Sarawak
Daro,['96200'],Sarawak
Debak,['95500'],Sarawak
Engkilili,['95800'],Sarawak
Julau,['96600'],Sarawak
Kabong,['94650'],Sarawak
Kanowit,"['96700', '96707', '96709']",Sarawak
Kapit,"['96800', '96807', '96809']",Sarawak
Kota Samarahan,['94300'],Sarawak
Kuching,"['93000', '93010', '93030', '93050', '93100', '93150', '93200', '93250', '93300', '93350', '93400', '93450', '93500', '93502', '93503', '93504', '93505', '93506', '93507', '93508', '93514', '93516', '93517', '93518', '93519', '93520', '93527', '93529', '93532', '93540', '93550', '93551', '93552', '93554', '93556', '93558', '93560', '93564', '93566', '93570', '93572', '93576', '93578', '93582', '93586', '93590', '93592', '93594', '93596', '93600', '93604', '93606', '93608', '93609', '93610', '93612', '93614', '93618', '93619', '93620', '93626', '93628', '93632', '93634', '93648', '93658', '93660', '93661', '93662', '93668', '93670', '93672', '93677', '93690', '93694', '93700', '93702', '93704', '93706', '93708', '93710', '93712', '93714', '93716', '93718', '93720', '93722', '93724', '93726', '93728', '93730', '93732', '93734', '93736', '93738', '93740', '93742', '93744', '93746', '93748', '93750', '93752', '93754', '93756', '93758', '93760', '93762', '93764', '93900', '93902', '93904', '93906', '93908', '93910', '93912', '93914', '93916', '93990']",Sarawak
Lawas,"['98850', '98857', '98859']",Sarawak
Limbang,"['98700', '98707', '98708', '98709']",Sarawak
Lingga,['94900'],Sarawak
Long Lama,['98300'],Sarawak
Lubok Antu,['95900'],Sarawak
Lundu,"['94500', '94507', '94509']",Sarawak
Lutong,"['98100', '98107', '98109']",Sarawak
Matu,['96250'],Sarawak
Miri,"['98000', '98007', '98008', '98009']",Sarawak
Mukah,"['96400', '96410']",Sarawak
Nanga Medamit,['98750'],Sarawak
Niah,['98200'],Sarawak
Pusa,['94950'],Sarawak
Roban,['95300'],Sarawak
Saratok,"['95400', '95407', '95409']",Sarawak
Sarikei,"['96100', '96107', '96108', '96109']",Sarawak
Sebauh,['97100'],Sarawak
Sebuyau,['94850'],Sarawak
Serian,"['94700', '94707', '94709', '94750', '94760']",Sarawak
Sibu,"['96000', '96007', '96008', '96009']",Sarawak
Siburan,['94200'],Sarawak
Simunjan,"['94800', '94807', '94809']",Sarawak
Song,['96850'],Sarawak
Spaoh,['95600'],Sarawak
Sri Aman,"['95000', '95007', '95008', '95009']",Sarawak
Sundar,['98800'],Sarawak
Tatau,['97200'],Sarawak
Ampang,['68000'],Selangor
Bandar Baru Bangi,['43650'],Selangor
Bandar Puncak Alam,['42300'],Selangor
Bangi,['43600'],Selangor
Banting,['42700'],Selangor
Batang Berjuntai,"['45600', '45607', '45609', '45620', '45630']",Selangor
Batang Kali,"['44300', '44309', '44330']",Selangor
Batu Caves,['68100'],Selangor
Beranang,"['43700', '43701']",Selangor
Bukit Rotan,['45700'],Selangor
Cheras,"['43200', '43207']",Selangor
Cyberjaya,"['63000', '63100', '63200', '63300']",Selangor
Dengkil,"['43800', '43807']",Selangor
Hulu Langat,['43100'],Selangor
Jenjarom,"['42600', '42610', '42619']",Selangor
Jeram,['45800'],Selangor
Kajang,"['43000', '43007', '43009', '43558']",Selangor
Kapar,"['42200', '42209']",Selangor
Kerling,['44100'],Selangor
